Sure, here are the requested vocabulary cards in CSV format:,[sound:001.mp3]
お 宅[たく],Someone’s house (Polite),[sound:003.mp3]
先 日[せんじつ],The other day,[sound:004.mp3]
具 合[ぐあい],Condition,[sound:005.mp3]
機 会[きかい],Opportunity,[sound:006.mp3]
さっぱり,Not at all / Completely (Used with negative),[sound:007.mp3]
程 度[ていど],Extent / Degree,[sound:008.mp3]
丈 夫[じょうぶ],Strong / durable,[sound:009.mp3]
当 然[とうぜん],Naturally / Of course,[sound:010.mp3]
相 変[か]わらず,As usual,[sound:011.mp3]
予 想[そう]する,To predict / To anticipate,[sound:012.mp3]
以 降[こう],Since / After,[sound:013.mp3]
いわゆる,So-called,[sound:014.mp3]
確 か[たしか]に,Surely / Certainly,[sound:015.mp3]
仲 間[かま],Companion,[sound:016.mp3]
時 期[じき],Time / Period,[sound:017.mp3]
徐 々[じょじょ]に,Gradually / Step by step,[sound:018.mp3]
変 更[こう]する,To change,[sound:019.mp3]
叫[さけ]ぶ,To shout / To scream,[sound:020.mp3]
扱[あつか]う,To handle / To deal with,[sound:021.mp3]
甘[あま]やかす,To spoil,[sound:022.mp3]
特 徴[ちょう],Characteristic / Feature,[sound:023.mp3]
さすが,As expected,[sound:024.mp3]
ふざける,To fool around / To joke around,[sound:025.mp3]
条 件[けん],Condition,[sound:026.mp3]
現 実[じつ],Reality,[sound:027.mp3]
めったに,Rarely,[sound:028.mp3]
意 思[いし],Will / intention,[sound:029.mp3]
理 想[そう],Ideal,[sound:030.mp3]
含[ふく]む,To include,[sound:031.mp3]
協 力[きょうりょく]する,To cooperate,[sound:032.mp3]
退 屈[くつ],Bored,[sound:033.mp3]
くっつく,To stick,[sound:034.mp3]
感 謝[しゃ]する,To express gratitude,[sound:035.mp3]
使 用[よう]する,To use,[sound:036.mp3]
不 思 議[しぎ],Mysterious,[sound:037.mp3]
流 行[こう],Trend,[sound:038.mp3]
一時的[いちじてき]に,Temporarily,[sound:039.mp3]
平 和[わ],Peace,[sound:040.mp3]
部 分[ぶん],Part / Portion,[sound:041.mp3]
認[みと]める,To acknowledge / To admit,[sound:042.mp3]
配[くば]る,To distribute,[sound:043.mp3]
保険[ほけん],Insurance,[sound:044.mp3]
努 力[どりょく]する,To make an effort / To work hard,[sound:045.mp3]
わざと,On purpose,[sound:046.mp3]
内 容[よう],Content,[sound:047.mp3]
自 信[しん],Confidence,[sound:048.mp3]
決[けっ]して,Never (Used with negation),[sound:049.mp3]
具 体 的[たいてき],Concrete,[sound:050.mp3]
帰 宅[きたく]する,To return home,[sound:051.mp3]
加[くわ]える,To add,[sound:052.mp3]
工 事[じ],Construction work,[sound:053.mp3]
いずれ,Someday / Eventually,[sound:054.mp3]
許 可[きょか],Permission,[sound:055.mp3]
性 格[かく],Personality,[sound:056.mp3]
思 い 切[き]り,With all one’s strength,[sound:057.mp3]
深 刻[しんこく],Serious (Critical grave situation),[sound:058.mp3]
能 力[りょく],Ability,[sound:059.mp3]
送 料[りょう],Shipping fee,[sound:060.mp3]
効 率 的[りつてき],Efficient,[sound:061.mp3]
配 達[たつ]する,To deliver,[sound:062.mp3]
効 果[こうか],Effect,[sound:063.mp3]
故 障[しょう]する,To break down,[sound:064.mp3]
対 象[たいしょう],Target,[sound:065.mp3]
余 裕[ゆう],To afford to do / spare time / Leeway,[sound:066.mp3]
満 足[ぞく]する,To satisfy,[sound:067.mp3]
節 約[やく]する,To save money / To save resources,[sound:068.mp3]
地 域[いき],Region,[sound:069.mp3]
もったいない,Wasteful,[sound:070.mp3]
挑 戦[ちょうせん]する,To challenge oneself / To attempt,[sound:071.mp3]
企 業[ぎょう],Enterprise,[sound:072.mp3]
感 情[じょう],Emotion,[sound:073.mp3]
電 池[ち],Battery,[sound:074.mp3]
環 境[きょう],Environment,[sound:075.mp3]
洪 水[すい],Flood,[sound:076.mp3]
宗 教[きょう],Religion,[sound:077.mp3]
どうやら,Apparently,[sound:078.mp3]
手 続[てつづ]き,Procedure / Paperwork,[sound:079.mp3]
技 術[じゅつ],Technology,[sound:080.mp3]
渋 滞[じゅうたい],Traffic jam,[sound:081.mp3]
交 差 点[さてん],Intersection,[sound:082.mp3]
症 状[じょう],Symptoms,[sound:083.mp3]
借 金[しゃっきん],Debt,[sound:084.mp3]
提 出[ていしゅつ]する,To submit,[sound:085.mp3]
目 立[だ]つ,To stand out,[sound:086.mp3]
余[あま]る,To remain / To be left over,[sound:087.mp3]
たまたま,By chance / Coincidentally,[sound:088.mp3]
誘[さそ]う,To invite,[sound:089.mp3]
疑[うたが]う,To doubt,[sound:090.mp3]
繋[つな]がる,To be connected,[sound:091.mp3]
断[ことわ]る,To refuse,[sound:092.mp3]
試[ため]す,To try / To give something a try,[sound:093.mp3]
抱[かか]える,To hold in one’s arms / To have problems,[sound:094.mp3]
頼[たよ]る,To rely on,[sound:095.mp3]
離[はな]れる,To be apart / To be away from / To separate,[sound:096.mp3]
意 外[がい]と,Surprisingly,[sound:097.mp3]
感 覚[かく],Sense,[sound:098.mp3]
さっそく,Immediately / At once,[sound:099.mp3]
目 的 地[もくてきち],Destination,[sound:100.mp3]
印 象[んしょう],Impression,[sound:101.mp3]
雇[やと]う,To employ,[sound:102.mp3]
